pX,pY
115685.167527,120574.41953
112571.705288,120574.41953
113825.0,118890.280995
112665.754667,125975.580478
113724.967411,127569.863535
105825.0,120599.740077
103528.038961,120674.41953
107619.493305,120674.41953
106425.0,118890.280995
107611.108905,125825.58047
106525.032589,127529.63666
83584.245333,120474.41953
82423.234699,118911.208985
83619.339912,125825.58047
81168.382444,125825.58047
82425.0,127501.296443
16825.0,125800.259923
19117.287108,125725.58047
15034.564756,125725.58047
16225.0,127509.719005
38983.144322,125925.58047
40226.765301,127488.791015
15028.037387,120574.419522
16135.346225,118853.154693
70849.084537,87818.699402
58308.057705,184187.03061
58699.41953,174488.154667
57015.280995,175650.0
58699.41953,177511.845333
57015.280995,176350.0
63950.58047,174488.154667
65634.719005,175650.0
63950.58047,177511.845333
65634.719005,176350.0
64000.58047,169434.345333
58699.41953,169434.345333
58799.41953,165420.338932
65626.291015,168298.234699
57015.280995,168301.819077
58699.41953,150488.154667
57015.280995,151650.0
58699.41953,153511.845333
57015.280995,152350.0
63950.58047,150488.154667
65634.719005,151650.0
63950.58047,153511.845333
65634.719005,152350.0
63950.58047,143034.130358
63950.58047,145434.345333
65634.719005,144300.0
58649.41953,145459.345333
56991.651928,144350.0
68446.845334,160619.811941
67064.081363,156498.927878
63818.313773,130025.070643
56379.787165,134571.845333
55453.154667,115147.002802
72629.576997,116365.727839
77281.176971,116074.541619
337.96939,126216.942295
9959.345333,120574.41953
8825.0,118840.328311
7090.654667,120574.41953
8225.0,118840.328311
9959.345333,125825.58047
8825.0,127559.671689
7090.654667,125825.58047
8225.0,127559.671689
33959.345333,120574.41953
32825.0,118840.328311
31090.654667,120574.41953
32225.0,118840.328311
33959.345333,125825.58047
32825.0,127559.671689
31090.654667,125825.58047
32225.0,127559.671689
23905.188059,116178.154667
28026.072122,117460.918637
41513.476437,120574.41953
39090.654667,120574.41953
40225.0,118840.328311
56098.120468,167700.0
88690.654667,120574.41953
89825.0,118840.328311
91559.345333,120574.41953
90425.0,118840.328311
88684.523274,125825.58047
89818.868607,127559.671689
91553.21394,125825.58047
90418.868607,127559.671689
98744.811939,130121.845334
94623.927876,128939.08136
58699.41953,103365.869642
58699.41953,100965.654667
57015.280995,102100.0
64000.58047,100940.654667
65658.348072,102050.0
63950.58047,95911.845333
65634.719005,94750.0
63950.58047,92888.154667
65634.719005,94050.0
58699.41953,95911.845333
57015.280995,94750.0
58699.41953,92888.154667
57015.280995,94050.0
54206.664914,85780.286711
55589.428885,89901.170775
63950.580476,76965.687256
63850.580476,80990.164699
65634.719011,78098.213512
64342.644868,62212.96939
63950.58047,71911.845333
65634.719005,70750.0
63950.58047,68557.615678
58699.41953,72393.695989
58616.522099,70750.0
231954.276628,57792.430912
221313.476437,75425.58047
238499.41953,92634.130358
238449.41953,119034.345333
243772.425803,117300.0
243750.58047,119034.345333
243650.58047,115026.087089
244141.942295,133787.03061
234003.154667,110219.811941
194890.754667,75425.58047
196625.0,67568.200076
198926.19906,70274.41953
186828.154667,70174.41953
238477.574197,28300.0
238599.41953,31724.640511
263428.24737,75525.58047
246996.845333,64747.002802
238631.686227,79625.070643
229820.563584,65940.868421
225168.963611,65674.682201
262223.234699,77182.387144
238499.41953,21473.442507
236815.280995,20300.0
238499.41953,18522.552025
236815.280995,19700.0
240014.891225,27028.154667
243750.58047,45461.845333
245434.719005,44300.0
243750.58047,42538.154667
245434.719005,43700.0
238499.41953,45434.863572
236815.280995,44300.0
238499.41953,42565.654667
236815.280995,43700.0
238399.41953,50540.654667
236778.154667,51701.765301
213759.345333,70174.41953
212625.0,68440.328311
210890.654667,70174.41953
212025.0,68440.328311
196025.0,68366.197632
189784.345333,70174.41953
188625.0,68490.280995
189784.345333,75575.580478
188725.032589,77159.671689
195924.967411,77159.671689
238499.41953,95034.345333
236815.280995,93900.0
243800.58047,95059.345333
245458.348072,93950.0
236823.708985,117898.234699
245434.719005,117901.819077
238499.41953,124088.154667
236815.280995,125250.0
238499.41953,127111.845333
236815.280995,125950.0
243750.58047,124088.154667
245434.719005,125250.0
243750.58047,127111.845333
245434.719005,125950.0
243750.58047,100088.154667
245434.719005,101250.0
243750.58047,103111.845333
245434.719005,101950.0
238499.41953,100088.154667
236815.280995,101250.0
238499.41953,103111.845333
236815.280995,101950.0
235385.918638,106098.927878
226380.304635,78114.97958
213759.345333,75425.58047
212625.0,77159.671689
210890.654667,75425.58047
212025.0,77159.671689
218840.654667,70083.17915
219975.0,68440.328311
218890.654667,75425.58047
220025.0,77159.671689
203705.188059,79921.845334
207826.072122,78539.081363
260936.523563,70174.41953
263359.345333,70174.41953
262225.0,68440.328311
268490.654667,70174.41953
269625.0,68440.328311
271359.345333,70174.41953
270225.0,68440.328311
278544.811941,65678.154666
274423.927878,67060.918637
287359.345333,70124.41953
286223.234699,68498.708985
302112.03061,75816.942295
285625.0,75435.715586
268484.523274,75425.58047
269618.868607,77159.671689
271353.21394,75425.58047
270218.868607,77159.671689
243750.58047,52988.476437
243750.58047,50565.654667
245484.671689,51700.0
248243.335087,35377.794389
246860.571116,39498.678453
243800.58047,26565.654667
245426.291015,27701.765301
238108.057705,11812.96939
243750.58047,21461.845333
245434.719005,20300.0
243750.58047,18538.154667
245434.719005,19700.0
194890.654667,70274.41953
292490.654667,70174.41953
293625.0,68440.328311
295359.345333,70174.41953
294225.0,68440.328311
293618.868607,75465.488988
283333.100488,75325.58047
287759.345333,75413.870252
60339.473741,74297.257869
245725.0,84741.435481
249121.887882,84680.106867
240103.968538,27999.967411